Time_s,Velocity_mps
0,1.041274260029494
1,1.2255640644763548
2,1.5395210075977772
3,1.771406728315908
4,2.118161805731006
5,2.249622002796964
6,2.401840676310682
7,2.4813071552517822
8,2.7408957147676922
9,2.8715120658860855
10,2.9161546079793514
11,2.946759732540454
12,3.1220427035676757
13,3.043330592434039
14,3.367403657475146
15,3.1346502801188665
16,3.5137409139001154
17,3.362175683340614
18,3.4390670142797157
19,3.5067289784825335
20,3.6630416440192777
21,3.582518925717434
22,3.7564209987816763
23,3.8103133494646126
24,3.8263416070909915
25,3.6554537596386156
26,3.9077590655704153
27,3.742179655523868
28,4.0337762034782365
29,3.7923601599080956
30,3.6273015071262353
31,3.968916617994488
32,3.855441328698291
33,3.779443920944858
34,3.7979333267386752
35,4.077837107721271
36,3.8990987131327612
37,3.889407606213252
38,3.951714996534599
39,3.9875522709135693
40,3.8267044425211916
41,3.975778831413751
42,3.879992765218234
43,3.957265043036209
44,3.972856884948741
45,4.293792064118425
46,4.097307313819893
47,4.263649093280672
48,3.947429780741415
49,4.0777794166838195
50,4.004710228998855
51,4.13574724390546
52,3.7787972523905418
53,3.8490951275232086
54,3.814166772440668
55,4.076137445556318
56,3.9054763680023385
57,4.02322434572313
58,4.024892024513511
59,3.9649081767490766
60,4.08598013791599
61,3.9722070686355866
62,4.095816963729047
63,3.929284533498016
64,4.04278515801164
65,4.0618015097357505
66,3.8396326568859624
67,4.011464164061185
68,3.9643972856970513
69,3.918919588643037
70,4.244576132273743
71,4.0869748664789185
72,4.110309895258034
73,4.184735205849638
74,4.068796526530467
75,3.9433975829143075
76,4.145775907370221
77,3.9012993723791247
78,3.8772996041853953
79,4.0348629763545185
80,4.0686860972911925
81,3.9299472490903073
82,3.9558528283100682
83,3.926646087341449
84,4.04615558116431
85,3.9974934535326065
86,3.957292141538277
87,3.9902513927766856
88,4.106539462074622
89,3.990212648735024
90,3.9854220023621574
91,3.9662797435066963
92,4.154722946276024
93,4.055134671627548
94,4.121046629862688
95,4.031825220626957
96,3.844533657492612
97,3.9593373316154254
98,4.017221137673746
99,4.123336120727995
100,3.761127934762526
101,4.068504147240238
102,4.11546806565793
103,3.898593470392032
104,3.850381547642309
105,4.313386456932086
106,3.997354285022091
107,3.9290019818408615
108,4.013437177384618
109,4.099175295310163
110,3.926443015949765
111,4.137426284476204
112,3.834496815505874
113,3.987972259667707
114,4.003574036883414
115,4.147930824691715
116,3.98623622965678
117,3.9884575461624547
118,3.967399741121384
119,3.757213785747464
120,3.9487821277085535
121,4.224598560681052
122,3.984255600768561
123,4.076708290916686
124,3.9678455919508973
125,4.024588980478933
126,3.9727486074710736
127,3.9178957504339746
128,4.042970492845195
129,3.9226741586473266
130,4.099176304441732
131,4.0682218294764105
132,3.92123761952684
133,3.9246511070028487
134,4.1231383447296075
135,4.108121643732233
136,3.9626393077671094
137,3.9823486303747186
138,3.9694288884044986
139,4.137969989670714
140,4.081487406390081
141,4.048648167244896
142,3.909095810307297
143,3.894501523281029
144,4.0939289032823805
145,4.166952602653365
146,3.7272736706479903
147,3.8397238796979343
148,4.0636691643270835
149,3.9756836595818092
150,3.905439595683993
151,4.067837531416199
152,3.867058906275625
153,4.09037429824926
154,3.956206604356111
155,4.165584094775735
156,3.979525228840174
157,4.097341295230275
158,3.95448428919363
159,3.902003788775665
160,3.940130061909787
161,4.0060671351100465
162,3.8464493085126987
163,4.1106894937655785
164,3.997088923564175
