Time_s,CO_ppm
0,185.41369967879987
1,168.84504281118112
2,158.09659529123124
3,146.9796034594938
4,137.8710605220603
5,127.34770795408934
6,118.4514874466335
7,114.19507341324044
8,102.39353834856867
9,101.91108186848757
10,95.99206342218865
11,88.71596573389255
12,85.64454123304161
13,79.49797049274481
14,75.23853522059785
15,75.41377922062334
16,70.564871105981
17,71.07565692183323
18,69.49689438707601
19,63.02966642847761
20,59.83744351999124
21,60.36350262388871
22,51.4666443471964
23,50.60796238727046
24,50.83567571565583
25,50.185693332361964
26,48.147299117996276
27,46.69135434464085
28,46.53796445992495
29,43.75215861955259
30,43.64386181390033
31,41.85553226653408
32,39.09602960222718
33,37.534829308897876
34,36.1627997165555
35,38.07529805124431
36,35.97399822638255
37,39.154767424378505
38,35.009913573998745
39,37.74508054989663
40,31.016376808656887
41,32.67818488650742
42,29.32129825872353
43,30.93160828064663
44,32.343567157919324
45,29.36187694047198
46,29.01660322319449
47,29.80391702760271
48,32.25700037943464
49,26.187204831936956
50,25.37379547029383
51,25.683668497748386
52,26.177064343660454
53,24.444251416780798
54,26.0537081104356
55,26.531012389980962
56,22.186438380474033
57,27.331705539154534
58,20.916597641633036
59,23.99341786945409
60,23.142277355713606
61,26.14511691741398
62,20.83962943809753
63,21.677294207097603
64,22.21103266987913
65,22.558588359109685
66,20.073188223404323
67,23.669726567489715
68,17.4407754754894
69,17.635561004891166
70,19.16786831427079
71,17.00869317658783
72,15.39540281550559
73,20.81901021350715
74,19.47546011152748
75,12.974233353867294
76,18.951358423815762
77,19.065543679807526
78,14.307516704121333
79,18.711652701180142
80,12.921055761619707
81,14.602649618644708
82,15.005212720442024
83,16.04592073355416
84,15.607779537556741
85,15.01866205242729
86,12.62245384494207
87,17.17818839900884
88,15.192317546148859
89,12.552706980484476
90,12.265456064055954
91,15.99460497249829
92,14.244640755031844
93,10.935649533761087
94,11.752003036899806
95,14.38294799601849
96,8.17670832083946
97,10.187151673213299
98,13.164883159590431
99,9.082851403282726
100,14.551543884297331
101,8.918735434546848
102,8.194714767576345
103,8.124557713136664
104,10.688238529123975
105,9.607630174523665
106,8.714435479784663
107,10.30827757178144
108,8.311078210691718
109,10.263315345901647
110,10.893084461770837
111,10.153924508426163
112,7.118993851540813
113,10.93121939647559
114,9.299022988020202
115,10.49306230316074
116,10.63244988955542
117,7.760962153629779
118,9.96288193002922
119,6.839493736396024
120,9.294548890486967
121,4.743874756164363
122,9.20958177704879
123,7.776851385249177
124,4.240353081996766
125,8.13926168739078
126,6.282849285962014
127,11.461764990538168
128,7.501889005032817
129,11.595323763150734
130,8.331849343360993
131,5.03398406051891
132,7.259674596903213
133,7.024860761424001
134,8.158747498850936
135,3.2022550943740087
136,5.715782672851737
137,4.960523794742436
138,6.48964375997142
139,6.317773863449716
140,6.474107335850055
141,7.071210394708181
142,5.279539530098587
143,7.0949087025889215
144,4.676627821308156
145,4.534534598380214
146,5.951765036890975
147,5.570215373154008
148,3.1265295799295334
149,9.471023829645876
150,2.9823514938121733
151,1.7990626432983534
152,7.031071972374368
153,5.741300623135119
154,5.394411501343645
155,3.2703196692189858
156,1.659855482247183
157,3.9441534334185424
158,4.218979575968961
159,4.263929688608645
160,4.356276547050577
161,6.5817368928927635
162,1.8369557745761704
163,0.14967456084674913
164,3.1399372858293724
165,0.5035615059852119
166,0.0
167,6.755054325044149
168,4.004628008067748
169,2.3346923219805276
170,2.7468153325504634
171,6.957617641900386
172,5.673334473658047
173,5.152473810862869
174,3.963127774381254
175,1.1207311993316207
176,2.9424017840122403
177,1.2492085744362846
178,7.147567004174583
179,0.9447136252322768
180,0.37426131949241404
181,0.0
182,4.4935514833466605
183,0.0
184,4.012284822021956
185,3.3213259347723674
186,2.2913685500702736
187,7.646257553352
188,1.5198198767219115
189,3.564582263337626
190,0.05740275995896926
191,0.8899807096258465
192,3.953975655729515
193,0.8612270505925572
194,2.29668877547385
195,3.7032697265291548
196,2.4510466773389714
197,1.419800387497384
198,2.3203132620093507
199,0.0
200,1.5814194191264108
201,4.230482302133919
202,5.574296691891897
203,3.4271427620053307
204,2.3097180314518013
205,2.304576137851437
206,0.4048898283638094
207,3.8293366458093083
208,3.6789074592764677
209,0.7664752241520938
210,0.0
211,2.6524018009128865
212,4.272251179903933
213,0.8276817428082655
214,2.2274054067133204
215,2.4921364152942194
216,3.616969086931162
217,2.639991565599447
218,0.0
219,3.2532755598381993
220,0.9368205372396217
221,1.566625275233746
222,3.261473384079282
223,0.0
224,3.161970798329751
225,0.0
226,0.22697595437638052
227,3.7828591321047957
228,3.74573438304778
229,0.0
230,0.0
231,0.0
232,0.0
233,4.440557304807623
234,1.585472669937702
235,0.0
236,0.9108858924854129
237,0.0
238,0.9575900949888652
239,2.5145402674004744
240,0.0
241,2.8225885180432515
242,4.234535641168986
243,2.9046581629978414
244,0.0
245,2.8951620330251844
246,0.0
247,0.0
248,5.292603744659623
249,0.0
250,0.0
251,0.40789708227711863
252,1.0811320985274941
253,3.528293998610496
254,2.4584948142603515
255,3.575277990644114
256,2.3856480911727767
257,1.4162290557623363
258,0.0
259,1.0956303702843697
260,0.0
261,0.0
262,0.19109537161569468
263,4.930098914879311
264,2.7447526906133195
265,2.788296519805876
266,0.0
267,0.7000040963501752
268,0.2493691376528745
269,1.2633321421993124
270,2.3352488357726164
271,0.37465919659143265
272,0.8829779437054781
273,1.9654614355157412
274,1.4387255312158065
275,2.228931699847668
276,0.0
277,0.0
278,0.2727863414115597
279,0.0
280,0.0
281,0.0
282,1.8677750220300822
283,0.0
284,0.0
285,3.9510020449427277
286,0.0
287,2.2222776054252993
288,0.9539589110211285
289,1.722939264184486
290,0.0
291,0.1364104209749476
292,0.0
293,1.8260514979347418
294,6.016814319773136
295,3.486911028505209
296,3.012607164293425
297,0.0
298,0.8464482159522129
299,0.0
