Time_s,H2_ppm
0,117.86857578604824
1,112.20834097358481
2,105.6980904637837
3,97.80931011322174
4,92.42667084262779
5,87.34793564958021
6,79.5316353694171
7,78.25522497477547
8,69.66579357416111
9,66.6205764688345
10,63.21281999372637
11,59.27061916562644
12,54.59320522349487
13,55.5980117915653
14,54.18579051289517
15,49.755819639758315
16,46.96072628895549
17,44.1926969369839
18,43.54565448743995
19,41.98670146295174
20,39.21521954735079
21,37.07918465022294
22,32.756887087010725
23,35.23624368412461
24,36.1810213693808
25,33.02788131176155
26,29.56207080987126
27,29.64990272017342
28,27.549612434537295
29,25.967571643873875
30,30.50881237455134
31,27.726184588681676
32,27.421966352768465
33,22.718982743548928
34,26.182647207685477
35,25.784640105403437
36,26.0177786888808
37,21.994984219874883
38,21.100459330657323
39,24.41628116134331
40,22.969634443307275
41,21.0766016193205
42,22.19667159093202
43,23.257766164351963
44,20.654968056671056
45,20.57827222915529
46,20.796688080656455
47,20.122175401900794
48,18.41963899077133
49,18.400108240422465
50,15.09725101953483
51,15.613123741684419
52,21.157200673883477
53,16.016603720734473
54,14.05166895557503
55,18.34599657737254
56,18.723942746889584
57,13.768037679020805
58,15.506540215333114
59,14.851329467381033
60,14.450770250385943
61,13.388286826194232
62,13.148368557515361
63,13.403502374115327
64,14.728267531939057
65,13.373125417825907
66,13.771086539343427
67,13.426359134739194
68,12.673878842410101
69,11.767914415022481
70,11.242535085255291
71,11.756012878129253
72,12.083533195178838
73,9.75298359614201
74,10.522715982311547
75,12.976192786639253
76,10.085448308103217
77,11.30413817553718
78,8.793912735143035
79,12.641462193396887
80,12.59843310226259
81,10.779667877185151
82,10.409316730394949
83,10.748601724270928
84,9.678149179976028
85,8.651119954682045
86,10.850698894871792
87,8.306027403275245
88,9.865903678994668
89,10.996021518305394
90,7.143030195553969
91,8.568772040822415
92,8.660965603123385
93,5.2625014129449585
94,7.613834655234841
95,8.325229406587248
96,6.143940244455052
97,9.44878446341621
98,10.319054978546854
99,9.90623187580109
100,10.68632995759803
101,6.995704421940311
102,9.09727175169693
103,7.700203060544025
104,5.21912615858434
105,5.534876217109691
106,6.236536620006258
107,4.055676207710432
108,6.579550013438489
109,6.551357541104466
110,10.728897584079727
111,6.7481317014448745
112,8.26652353762709
113,6.922748933982952
114,4.953941066272497
115,4.430479345784898
116,4.927700844574486
117,5.189201795485093
118,7.346956786745986
119,7.38136404550851
120,4.8257331679544375
121,4.952986503246929
122,4.0383209517138345
123,4.865795926914575
124,5.4798520357997536
125,4.150574628177258
126,5.111588386760236
127,3.8594887102469126
128,6.764929249649641
129,5.004197693282744
130,3.7249673103115946
131,6.641949656488036
132,1.803037550740099
133,4.162633406953622
134,6.613633835905602
135,6.080051502616643
136,5.355136063268667
137,4.022775228485421
138,5.566252220768721
139,5.057106100463063
140,5.528270638287683
141,2.2765778954922884
142,5.4500229138916225
143,2.3124204356189964
144,1.6922748816529505
145,3.5554665805046515
146,3.4016249537704497
147,5.390594007557989
148,3.0733340672679215
149,3.826102483003016
150,1.7543633363306235
151,1.3641252381027518
152,2.6257555343899126
153,4.007289334046789
154,7.0011614227403065
155,1.4240287523544561
156,5.7106468740478205
157,2.490755228018945
158,5.020466167196313
159,0.5957108639071031
160,3.176295599999408
161,2.9744353941835593
162,2.00946838403292
163,2.229586837510709
164,2.598650409283689
165,2.7526033104609513
166,0.0
167,0.5733035467574765
168,1.096382714533343
169,0.0
170,0.2737025986833128
171,3.432532783966026
172,2.738520022463631
173,0.8344147351731361
174,3.6127982035470767
175,2.15208544351235
176,0.710939113237842
177,3.032998607135001
178,4.068084158616498
179,1.4898295021651027
180,3.09922392111403
181,2.397813576183739
182,2.414844031158628
183,0.002990871019407537
184,0.0
185,0.14706013409216556
186,2.2719030692651794
187,1.6693922202640312
188,1.45986792878653
189,3.656620381014462
190,3.9907789709977814
191,0.0
192,0.0
193,0.9033992695950759
194,2.237494142929357
195,2.4222648612492996
196,1.1192636279386567
197,0.0
198,4.3135320337625025
199,0.4041536972259254
200,1.9641866679388706
201,1.4347167635274582
202,0.8819713233211958
203,3.036839111690179
204,3.240005029307003
205,0.0
206,0.0
207,0.2765346284802257
208,1.7649911475371611
209,1.646057960533327
210,1.7460532225900895
211,2.889497470123687
212,2.7067522552611236
213,0.48542521936270444
214,0.0
215,0.0
216,2.8854868204041324
217,0.002345873498483364
218,2.771280539519209
219,2.058019375686
220,4.286676546128294
221,0.9892682477485772
222,0.0
223,4.0035248198310915
224,1.007022252026173
225,0.7534783450879434
226,3.083924446154372
227,0.3859267870137031
228,0.0
229,0.35029401077367406
230,1.7371003030192025
231,0.26139049781087964
232,3.576502141030182
233,0.0
234,0.0
235,0.0
236,3.6634458794713116
237,3.375997940935121
238,0.30288153646655513
239,0.0
240,0.0
241,2.9021612485196737
242,1.6506538595986142
243,1.666292564208437
244,0.1160294906267334
245,2.496191694962385
246,0.6998483098106558
247,0.0
248,0.0
249,1.0258914188761175
250,0.0
251,1.402790904079244
252,0.0
253,0.0
254,0.0
255,0.06736536742417365
256,1.3436034524267115
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.7026967642289254
263,1.1640599381980294
264,3.394825033501858
265,0.0
266,2.4820484782881698
267,0.0
268,0.0
269,1.3867864004650028
270,1.967090246477979
271,2.074678873919645
272,1.1968077677975368
273,0.6396163571359896
274,3.0709036519460233
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,2.763279014161728
281,0.0
282,2.994393421847865
283,0.0
284,1.9546735749931383
285,0.0
286,2.9631323807937253
287,0.0
288,0.615579500520042
289,0.19347973239799643
290,0.0
291,2.6347483566170484
292,1.9143429755314196
293,0.21149710015801995
294,1.00518770882357
295,1.7186802937658174
296,0.0
297,1.5759676024966236
298,1.873778172845265
299,0.0
