Time_s,Decay
0,1.0
1,0.9834714538216176
2,0.9672161004820059
3,0.951229424500714
4,0.9355069850316178
5,0.9200444146293233
6,0.9048374180359595
7,0.8898817709880238
8,0.8751733190429475
9,0.8607079764250578
10,0.846481724890614
11,0.8324906126116027
12,0.8187307530779818
13,0.8051983240180705
14,0.7918895663367816
15,0.7788007830714049
16,0.7659283383646487
17,0.7532686564546569
18,0.7408182206817179
19,0.728573572511393
20,0.7165313105737893
21,0.7046880897187134
22,0.6930406200864415
23,0.6815856661938479
24,0.6703200460356392
25,0.6592406302004438
26,0.6483443410015097
27,0.6376281516217732
28,0.6270890852730561
29,0.6167242143691608
30,0.6065306597126334
31,0.5965055896949683
32,0.5866462195100317
33,0.5769498103804866
34,0.5674136687970038
35,0.5580351457700471
36,0.5488116360940265
37,0.5397405776236126
38,0.5308194505620139
39,0.522045776761016
40,0.513417119032592
41,0.5049310804718897
42,0.4965853037914096
43,0.48837747066618714
44,0.4803053010897994
45,0.4723665527410147
46,0.46455902036091146
47,0.45688053514029203
48,0.44932896411722156
49,0.4419022095845253
50,0.4345982085070782
51,0.42741493194872665
52,0.4203503845086819
53,0.41340260376722937
54,0.4065696597405991
55,0.39984965434484737
56,0.39324072086859824
57,0.38674102345450123
58,0.3803487565892586
59,0.37406214460208265
60,0.3678794411714424
61,0.3617989288399626
62,0.35581891853734193
63,0.3499377491111553
64,0.34415378686541237
65,0.3384654251067422
66,0.33287108369807955
67,0.3273692086197276
68,0.3219582715376759
69,0.3166367693790532
70,0.3114032239145976
71,0.30625618134802807
72,0.3011942119122021
73,0.29621590947194976
74,0.291319891133471
75,0.2865047968601901
76,0.28176928909495835
77,0.2771120523885023
78,0.2725317930340126
79,0.2680272387077725
80,0.26359713811572677
81,0.2592402606458915
82,0.25495539602650996
83,0.25074135398985803
84,0.24659696394160652
85,0.2425210746356487
86,0.23851255385430245
87,0.23457028809379768
88,0.23069318225496285
89,0.22688015933902364
90,0.22313016014842982
91,0.21944214299262663
92,0.21581508339868974
93,0.21224797382674304
94,0.20873982339007963
95,0.2052896575799093
96,0.20189651799465538
97,0.1985594620737261
98,0.19527756283568573
99,0.19204990862075413
100,0.18887560283756183
101,0.18575376371409136
102,0.18268352405273466
103,0.1796640309893994
104,0.17669444575659674
105,0.1737739434504451
106,0.1709017128015248
107,0.16807695594952013
108,0.16529888822158653
109,0.16256673791438075
110,0.1598797460796939
111,0.1572371663136276
112,0.1546382645492548
113,0.15208231885270754
114,0.14956861922263506
115,0.1470964673929768
116,0.14466517663899506
117,0.1422740715865136
118,0.1399224880243094
119,0.1376097727196054
120,0.13533528323661267
121,0.13309838775807187
122,0.13089846490974433
123,0.12873490358780423
124,0.12660710278908355
125,0.12451447144412298
126,0.1224564282529819
127,0.12043240152376272
128,0.11844182901380369
129,0.11648415777349697
130,0.11455884399268773
131,0.11266535284961249
132,0.11080315836233386
133,0.1089717432426314
134,0.10717059875230674
135,0.10539922456186433
136,0.10365712861152786
137,0.10194382697455369
138,0.10025884372280375
139,0.09860171079454011
140,0.09697196786440504
141,0.09536916221554961
142,0.09379284861387625
143,0.09224258918435978
144,0.09071795328941253
145,0.08921851740926012
146,0.08774386502429433
147,0.0862935864993705
148,0.0848672789700174
149,0.0834645462305278
150,0.0820849986238988
151,0.08072825293359122
152,0.07939393227707822
153,0.07808166600115317
154,0.07679108957896803
155,0.07552184450877376
156,0.07427357821433386
157,0.07304594394698455
158,0.07183860068931328
159,0.0706512130604296
160,0.06948345122280154
161,0.06833499079063209
162,0.06720551273974974
163,0.06609470331898892
164,0.06500225396303454
165,0.06392786120670757
166,0.06287122660066728
167,0.06183205662850661
168,0.06081006262521798
169,0.05980496069700671
170,0.05881647164242988
171,0.057844320874838456
172,0.056888238346101516
173,0.055947958471591154
174,0.05502322005640723
175,0.0541137662228216
176,0.053219344338921504
177,0.05233970594843238
178,0.05147460670170076
179,0.050623806287817624
180,0.04978706836786394
181,0.04896416050925942
182,0.0481548541211964
183,0.04735892439114093
184,0.046576150222383414
185,0.04580631417262147
186,0.04504920239355781
187,0.04430460457149659
188,0.043572313868921624
189,0.04285212686704018
190,0.042143843509276406
191,0.04144726704569881
192,0.040762203978366204
193,0.04008846400757714
194,0.03942585997900747
195,0.03877420783172201
196,0.038133326547045196
197,0.03750303809827702
198,0.03688316740124001
199,0.03627354226564359
200,0.03567399334725239
201,0.035084354100845025
202,0.034504460733950484
203,0.0339341521613492
204,0.03337326996032608
