Time_s,Spike
0,1.0
1,0.9048374180359595
2,0.8187307530779818
3,0.7408182206817179
4,0.6703200460356392
5,0.6065306597126334
6,0.5488116360940265
7,0.4965853037914096
8,0.44932896411722156
9,0.4065696597405991
10,0.3678794411714424
11,0.33287108369807955
12,0.3011942119122021
13,0.2725317930340126
14,0.24659696394160652
15,0.22313016014842982
16,0.20189651799465538
17,0.18268352405273466
18,0.16529888822158653
19,0.14956861922263506
20,0.13533528323661267
21,0.1224564282529819
22,0.11080315836233386
23,0.10025884372280375
24,0.09071795328941253
25,0.0820849986238988
26,0.07427357821433386
27,0.06720551273974974
28,0.06081006262521798
29,0.05502322005640723
30,0.04978706836786394
31,0.04504920239355781
32,0.040762203978366204
33,0.03688316740124001
34,0.03337326996032608
35,0.0301973834223185
36,0.02732372244729256
37,0.024723526470339385
38,0.0223707718561656
39,0.02024191144580439
40,0.01831563888873418
41,0.01657267540176125
42,0.014995576820477705
43,0.013568559012200934
44,0.012277339903068436
45,0.011108996538242308
46,0.010051835744633584
47,0.009095277101695816
48,0.00822974704902003
49,0.007446583070924338
50,0.006737946999085467
51,0.006096746565515638
52,0.0055165644207607716
53,0.004991593906910217
54,0.004516580942612666
55,0.004086771438464067
56,0.003697863716482932
57,0.003345965457471272
58,0.0030275547453758153
59,0.002739444818768368
60,0.0024787521766663585
61,0.002242867719485803
62,0.002029430636295734
63,0.0018363047770289071
64,0.001661557273173934
65,0.0015034391929775726
66,0.0013603680375478939
67,0.001230911902673481
68,0.0011137751478448032
69,0.0010077854290485105
70,0.0009118819655545162
71,0.0008251049232659045
72,0.0007465858083766792
73,0.0006755387751938444
74,0.0006112527611295723
75,0.0005530843701478336
76,0.0005004514334406109
77,0.00045282718288679695
78,0.0004097349789797868
79,0.0003707435404590883
80,0.0003354626279025118
81,0.0003035391380788668
82,0.00027465356997214254
83,0.00024851682710795185
84,0.0002248673241788482
85,0.00020346836901064417
86,0.0001841057936675792
87,0.0001665858109876335
88,0.0001507330750954765
89,0.0001363889264820114
90,0.00012340980408667956
91,0.00011166580849011478
92,0.00010103940183709342
93,9.142423147817327e-05
94,8.272406555663223e-05
95,7.485182988770058e-05
96,6.77287364908539e-05
97,6.128349505322213e-05
98,5.545159943217694e-05
99,5.017468205617528e-05
100,4.5399929762484854e-05
101,4.1079555225300724e-05
102,3.7170318684126734e-05
103,3.363309518571897e-05
104,3.0432483008403628e-05
105,2.7536449349747158e-05
106,2.4916009731503204e-05
107,2.254493791321221e-05
108,2.0399503411171922e-05
109,1.8458233995780558e-05
110,1.670170079024566e-05
111,1.5112323819855033e-05
112,1.3674196065680964e-05
113,1.2372924261788221e-05
114,1.1195484842590942e-05
115,1.013009359863071e-05
116,9.166087736247617e-06
117,8.29381916075737e-06
118,7.504557915076859e-06
119,6.79040480737947e-06
120,6.14421235332821e-06
121,5.559513241650147e-06
122,5.0304556071114475e-06
123,4.551744463083231e-06
124,4.118588707535707e-06
125,3.7266531720786714e-06
126,3.3720152341391845e-06
127,3.0511255580364225e-06
128,2.760772572037199e-06
129,2.498050325866635e-06
130,2.2603294069810542e-06
131,2.0452306245234893e-06
132,1.8506011975819082e-06
133,1.674493209434266e-06
134,1.515144112143249e-06
135,1.3709590863840845e-06
136,1.2404950799567134e-06
137,1.1224463652343442e-06
138,1.01563147100249e-06
139,9.189813578979571e-07
140,8.315287191035679e-07
141,7.523982992164213e-07
142,6.807981343976343e-07
143,6.160116261320527e-07
144,5.573903692694596e-07
145,5.04347662567888e-07
146,4.563526367903994e-07
147,4.1292494158732714e-07
148,3.73629937988526e-07
149,3.380743483904737e-07
150,3.059023205018258e-07
151,2.767918658540807e-07
152,2.5045163723276214e-07
153,2.26618012776571e-07
154,2.0505245756119267e-07
155,1.855391362615978e-07
156,1.6788275299956632e-07
157,1.519065967568964e-07
158,1.374507727921396e-07
159,1.2437060236028695e-07
160,1.1253517471925912e-07
161,1.0182603693119986e-07
162,9.213600834566134e-08
163,8.336810789962771e-08
164,7.543458349844258e-08
165,6.82560337633487e-08
166,6.176061335580363e-08
167,5.588331392518268e-08
168,5.05653134833552e-08
169,4.575338769445812e-08
170,4.139937718785167e-08
171,3.745970556295245e-08
172,3.389494326196924e-08
173,3.066941294563555e-08
174,2.7750832422407563e-08
175,2.5109991557439816e-08
176,2.2720459927738556e-08
177,2.055832229760448e-08
178,1.860193926691551e-08
179,1.6831730696737596e-08
180,1.522997974471263e-08
181,1.3780655548945718e-08
182,1.2469252785750989e-08
183,1.1282646495496606e-08
184,1.0208960723597638e-08
185,9.237449661970594e-09
186,8.358390101374608e-09
187,7.56298411826514e-09
188,6.843271022217988e-09
189,6.1920476826640385e-09
190,5.602796437537268e-09
191,5.069619862322286e-09
192,4.587181746647524e-09
193,4.1506536876982236e-09
194,3.7556667659383025e-09
195,3.398267819495071e-09
196,3.074879879586606e-09
197,2.782266371015873e-09
198,2.5174987194382783e-09
199,2.2779270412053708e-09
200,2.061153622438558e-09
201,1.865008921902767e-09
202,1.6875298575085319e-09
203,1.5269401591266087e-09
204,1.3816325910795409e-09
205,1.2501528663867426e-09
206,1.1311850917716326e-09
207,1.0235385977594162e-09
208,9.261360220567755e-10
209,8.380025269479489e-10
210,7.582560427911907e-10
211,6.860984399693442e-10
212,6.208075409403624e-10
213,5.6172989244173e-10
214,5.082742255105933e-10
215,4.599055378652317e-10
216,4.161397394224149e-10
217,3.765388073611357e-10
218,3.4070640224298915e-10
219,3.08283901313868e-10
220,2.7894680928689246e-10
221,2.5240151068452063e-10
222,2.2838233123615784e-10
223,2.0664887892075802e-10
224,1.8698363804268472e-10
225,1.6918979226151304e-10
226,1.530892547879476e-10
227,1.3852088603137598e-10
228,1.2533888086068347e-10
229,1.1341130933749783e-10
230,1.026187963170189e-10
231,9.285332670144929e-11
232,8.401716438858898e-11
233,7.602187409607351e-11
234,6.87874362713461e-11
235,6.224144622907783e-11
236,5.631838950074272e-11
237,5.0958986143795644e-11
238,4.610959744808222e-11
239,4.1721689101600286e-11
240,3.775134544279098e-11
241,3.4158829937838525e-11
242,3.0908187484083317e-11
243,2.796688455926927e-11
244,2.5305483615119005e-11
245,2.289734845645553e-11
246,2.0718377657208856e-11
247,1.8746763345242814e-11
248,1.696277294184065e-11
249,1.5348551671425364e-11
250,1.3887943864964021e-11
251,1.2566331268602371e-11
252,1.1370486739266739e-11
253,1.0288441862970217e-11
254,9.30936717090307e-12
255,8.423463754468647e-12
256,7.62186519451289e-12
257,6.896548823221205e-12
258,6.2402554305624016e-12
259,5.646416611674971e-12
260,5.109089028063324e-12
261,4.622894924668662e-12
262,4.182968307488743e-12
263,3.784906243074357e-12
264,3.4247247924915922e-12
265,3.098819138721825e-12
266,2.8039275084414685e-12
267,2.537098527098185e-12
268,2.2956616805623543e-12
269,2.077200587724137e-12
270,1.8795288165390832e-12
271,1.7006680014814045e-12
272,1.5388280433968128e-12
273,1.3923891935884977e-12
274,1.2598858428277908e-12
275,1.1399918530443554e-12
276,1.0315072848906821e-12
277,9.333463883457698e-13
278,8.445267361639731e-13
279,7.641593914129471e-13
280,6.914400106940203e-13
281,6.256407940031327e-13
282,5.661032006637635e-13
283,5.122313584304917e-13
284,4.634860997992993e-13
285,4.1937956583795446e-13
286,3.794703235298559e-13
287,3.4335894776402575e-13
288,3.106840237543445e-13
289,2.8111852987890444e-13
290,2.5436656473769233e-13
291,2.301603856719299e-13
292,2.0825772910555018e-13
293,1.8843938588989806e-13
294,1.7050700738489757e-13
295,1.5428112031918877e-13
296,1.3959933056130979e-13
297,1.2631469782464427e-13
298,1.1429426503964337e-13
299,1.0341772767478878e-13
