Time_s,Temperature_K
0,551.6107951213993
1,535.2472756098389
2,532.3396090061121
3,526.2939711339313
4,520.2752138591006
5,507.1875839825667
6,501.01279979674814
7,493.8520458912017
8,493.8017228501138
9,485.28238988440745
10,476.2909665949687
11,477.4530354719576
12,469.21499757062554
13,469.30555023521265
14,460.42455860561904
15,460.91164912140914
16,465.82492725475976
17,452.3409737058803
18,454.285038174896
19,454.8959128321957
20,448.6608723464801
21,450.72798954336764
22,447.1569922831225
23,442.2666390322928
24,440.2183248873835
25,441.7828051904439
26,434.46664763347906
27,434.7547150770586
28,438.02914287676845
29,432.6750471839
30,434.55119711944894
31,430.67638091467904
32,437.1672754745518
33,435.24361266954224
34,433.0642210094774
35,431.4939137899922
36,428.56798352378564
37,425.9770472146471
38,435.16510656981995
39,429.9836624388625
40,427.01535976193617
41,428.24477973915333
42,429.2127987317916
43,429.7182461696804
44,430.31497075157114
45,426.96102280881763
46,421.76175465108446
47,423.99908438921216
48,424.81858131477105
49,422.5970595702742
50,422.6605187106547
51,412.6890053744551
52,426.6219247146814
53,420.68968797467784
54,425.96375452504236
55,423.2529489683054
56,421.27297984420113
57,425.81623677762934
58,417.23820762644584
59,427.3103939384415
60,418.9319580877386
61,412.7247177207968
62,415.86362397738213
63,418.04762903775594
64,411.87875695934224
65,416.6557230326547
66,415.3863055701962
67,414.3346215049095
68,414.5272493631444
69,413.54338252220174
70,416.2680661135274
71,416.2448542626304
72,414.7235751216532
73,415.0728154228968
74,415.55422554030594
75,416.09005523840966
76,414.8223043132745
77,419.52777140895176
78,418.82942954444405
79,410.2900011726783
80,410.01755316732977
81,409.8873885896304
82,415.1054192218174
83,410.76050134252915
84,415.9231670382629
85,409.3625647515809
86,407.6224830199443
87,406.53708569095465
88,406.5414084775201
89,410.1030357532668
90,417.33984983785393
91,413.1512677268224
92,411.1841135066694
93,408.47372545734424
94,409.4324658484214
95,407.91125276394
96,408.8896168423649
97,410.52954736203355
98,411.7075549142148
99,408.5241932193365
100,411.40320152347914
101,409.0674520518917
102,407.9842125318624
103,410.29932982248647
104,407.3105956867064
105,408.94160717535453
106,408.487104055528
107,411.55366671614854
108,408.0280172899943
109,409.19825659089366
110,404.92070806213667
111,407.18264265262616
112,411.6473214187718
113,411.68188711427325
114,409.5306163737568
115,405.7381786019806
116,404.82024365781314
117,404.64198623805254
118,405.3364524334576
119,407.98735726601734
120,404.6133576430915
121,403.57096681430835
122,402.99050137552507
123,404.254291509585
124,400.09671375089124
125,401.6949274074912
126,403.1821840888987
127,404.99314801609455
128,410.79776485492954
129,408.17021320027465
130,406.37355265869655
131,400.84242327360994
132,403.9860477172897
133,407.36222849304465
134,409.1926953136382
135,398.270782647984
136,409.2812344855
137,404.56960086101174
138,407.76225928611933
139,403.2101558294935
140,404.67169837348683
141,401.1419936308407
142,404.9577362104824
143,409.2575652262391
144,408.48001678255963
145,406.9518702948012
146,401.96394436263716
147,403.5847323441917
148,402.4767714480078
149,405.20831314129464
150,407.05802993657124
151,400.48466759208327
152,402.3585378433001
153,406.696582449966
154,407.1542583104721
155,400.13791472732026
156,403.4764565565231
157,407.3716007924111
158,407.2906655049637
159,402.42960833774936
160,406.7165879665592
161,404.52775641289617
162,400.4802127758601
163,408.37915537948294
164,402.01703531377996
165,402.83949627099474
166,398.3944552402201
167,401.59791247493683
168,400.8926880753879
169,397.64819115352725
170,404.24590398983236
171,400.74438388962017
172,405.6239839120206
173,401.8977960797055
174,406.1423892523694
175,402.86989651260814
176,402.09394804462545
177,402.01533440979097
178,400.03002947466814
179,401.0379450218518
180,404.96063538379184
181,404.89083756861544
182,402.01176168337633
183,402.1007129867841
184,398.2211860269051
185,400.7988396403427
186,400.652593477812
187,398.2339180274428
188,405.7604248736681
189,401.53307494371205
190,401.7345428860128
191,404.40411094449155
192,399.2747749404577
193,404.05151912457103
194,395.1757030921524
195,400.20749012462977
196,395.8715513920688
197,405.57698406417165
198,404.06593590788884
199,399.8889899603935
200,401.79984712328735
201,399.1971043224124
202,402.9621583278662
203,404.0163917793145
204,399.8358214120434
205,402.7986677538054
206,399.047908238937
207,400.60215694221836
208,402.21950599540656
209,403.8304845730583
210,399.5321433091703
211,401.16118547822543
212,402.81649206675525
213,403.74994239199907
214,405.6231971803745
215,400.898681631978
216,407.1614096881112
217,398.96243140545374
218,403.877675389564
219,406.1277935747108
220,406.8755227722206
221,400.95022737782597
222,398.0951408963217
223,396.6616191613684
224,399.92855065821476
225,395.68460832005894
226,398.81437308432965
227,395.69728890038215
228,402.14156890153856
229,404.4520363416026
230,400.6226264798209
231,405.45830603871786
232,400.0402554949085
233,402.95967922724526
234,398.163454579802
235,401.71486480388114
236,403.44263270224775
237,402.044163499103
238,404.1193552692053
239,401.44735639256675
240,401.2251038525602
241,401.46066141508527
242,404.5724344206422
243,402.0954725334883
244,402.30592952504844
245,401.50989969891504
246,404.4218912411101
247,393.7943163058797
248,398.9467676662598
249,400.9782542149013
250,401.2198751330963
251,396.3360117631489
252,405.46483802389645
253,401.31850731098393
254,399.119536374918
255,404.965880877015
256,403.6061040336048
257,396.2644561582051
258,394.10424592592204
259,398.06507000653716
260,403.2903217626517
261,403.1716631092761
262,401.69258267695255
263,403.1477574411853
264,400.05120835945405
265,404.2433769111898
266,403.2052020462706
267,397.86082476697874
268,400.4148719906849
269,400.8285559844361
270,403.15727168437
271,397.7092742311777
272,400.3419402048094
273,402.28049586498736
274,399.06533360470974
275,403.3369550184603
276,402.86194700787047
277,398.7937615103736
278,400.4309419148742
279,401.1170397542934
280,400.4126238052821
281,397.2496799775477
282,398.14988554495
283,405.79542167423705
284,399.1537400375281
285,402.0653497572631
286,398.89905077321106
287,394.547564407959
288,406.6322604293165
289,397.8813522520993
290,400.67118721309384
291,397.79138286515894
292,399.10488913134293
293,400.0523253933541
294,398.9507233108769
295,401.7552752495463
296,405.4896357535505
297,399.30680990382865
298,404.05666204064653
299,398.41277994693814
